Region,Interconnect
ERC_REST,ERCOT
ERC_GWAY,ERCOT
ERC_FRNT,ERCOT
ERC_WEST,ERCOT
ERC_PHDL,ERCOT
FRCC,Eastern
MIS_MAPP,Eastern
MIS_IL,Eastern
MIS_INKY,Eastern
MIS_IA,Eastern
MIS_MIDA,Eastern
MIS_LMI,Eastern
MIS_MO,Eastern
MIS_WUMS,Eastern
MIS_MNWI,Eastern
MIS_WOTA,Eastern
MIS_AMSO,Eastern
MIS_AR,Eastern
MIS_D_MS,Eastern
MIS_LA,Eastern
NENG_CT,Eastern
NENGREST,Eastern
NENG_ME,Eastern
NY_Z_C&E,Eastern
NY_Z_F,Eastern
NY_Z_G-I,Eastern
NY_Z_J,Eastern
NY_Z_K,Eastern
NY_Z_A,Eastern
NY_Z_B,Eastern
NY_Z_D,Eastern
PJM_WMAC,Eastern
PJM_EMAC,Eastern
PJM_SMAC,Eastern
PJM_West,Eastern
PJM_AP,Eastern
PJM_COMD,Eastern
PJM_ATSI,Eastern
PJM_Dom,Eastern
PJM_PENE,Eastern
S_VACA,Eastern
S_C_KY,Eastern
S_D_AECI,Eastern
S_C_TVA,Eastern
S_SOU,Eastern
SPP_NEBR,Eastern
SPP_N,Eastern
SPP_KIAM,Eastern
SPP_WEST,Eastern
SPP_SPS,Eastern
SPP_WAUE,Eastern
WEC_CALN,West
WEC_LADW,West
WEC_SDGE,West
WEC_SCE,West
WECC_MT,West
WECC_BANC,West
WECC_ID,West
WECC_NNV,West
WECC_SNV,West
WECC_UT,West
WECC_PNW,West
WECC_CO,West
WECC_WY,West
WECC_AZ,West
WECC_NM,West
WECC_IID,West
