R_Subgroup,R_IPM
ERCOT,ERC_REST
ERCOT,ERC_GWAY
ERCOT,ERC_FRNT
ERCOT,ERC_WEST
ERCOT,ERC_PHDL
FRCC,FRCC
MAPP,MIS_MAPP
MISO,MIS_IL
MISO,MIS_INKY
MISO,MIS_IA
MISO,MIS_MIDA
MISO,MIS_LMI
MISO,MIS_MO
MISO,MIS_WUMS
MISO,MIS_MNWI
MISO,MIS_WOTA
MISO,MIS_AMSO
MISO,MIS_AR
MISO,MIS_D_MS
MISO,MIS_LA
ISO-NE,NENG_CT
ISO-NE,NENGREST
ISO-NE,NENG_ME
NYISO,NY_Z_C&E
NYISO,NY_Z_F
NYISO,NY_Z_G-I
NYISO,NY_Z_J
NYISO,NY_Z_K
NYISO,NY_Z_A
NYISO,NY_Z_B
NYISO,NY_Z_D
PJM,PJM_WMAC
PJM,PJM_EMAC
PJM,PJM_SMAC
PJM,PJM_West
PJM,PJM_AP
PJM,PJM_COMD
PJM,PJM_ATSI
PJM,PJM_Dom
PJM,PJM_PENE
SERC-E,S_VACA
SERC-N,S_C_KY
SERC-N,S_D_AECI
SERC-N,S_C_TVA
SERC-SE,S_SOU
SPP,SPP_NEBR
SPP,SPP_N
SPP,SPP_KIAM
SPP,SPP_WEST
SPP,SPP_SPS
SPP,SPP_WAUE
CAMX,WEC_CALN
CAMX,WEC_LADW
CAMX,WEC_SDGE
CAMX,WECC_SCE
NWPP,WECC_MT
NWPP,WEC_BANC
NWPP,WECC_ID
NWPP,WECC_NNV
NWPP,WECC_SNV
NWPP,WECC_UT
NWPP,WECC_PNW
RMRG,WECC_CO
RMRG,WECC_WY
SRSG,WECC_AZ
SRSG,WECC_NM
SRSG,WECC_IID
Canada,CN_AB
Canada,CN_BC
Canada,CN_MB
Canada,CN_NB
Canada,CN_NF
Canada,CN_NL
Canada,CN_PE
Canada,CN_NS
Canada,CN_ON
Canada,CN_PQ
Canada,CN_SK
