Profile,Segments
BLoad_12,12
BLoad_18,18
BLoad_192,192
BLoad_24,24
BLoad_384,384
BLoad_48,48
BLoad_60,60
BLoad_72,72
BLoad_768,768
BLoad_96,96
BSolar_12,12
BSolar_18,18
BSolar_192,192
BSolar_24,24
BSolar_384,384
BSolar_48,48
BSolar_60,60
BSolar_72,72
BSolar_768,768
BSolar_96,96
BWind_12,12
BWind_18,18
BWind_192,192
BWind_24,24
BWind_384,384
BWind_48,48
BWind_60,60
BWind_72,72
BWind_768,768
BWind_96,96
D_M03D1H06,18
D_M03D1H24,72
D_M03D2H06,36
D_M03D2H24,144
D_M03D3H06,54
D_M03D3H24,216
D_M05D1H06,30
D_M05D1H24,120
D_M05D2H06,60
D_M05D2H24,240
D_M05D3H06,90
D_M05D3H24,360
D_M12D1H06,72
D_M12D1H24,288
D_M12D2H06,144
D_M12D2H24,576
D_M12D3H06,216
D_M12D3H24,864
IPM_og,67
seq_1-hr,8760
seq_12-hr,730
seq_120-hr,73
seq_2-hr,4380
seq_4-hr,2190
seq_6-hr,1460
seq_8-hr,1095
seq_8760-hr,1
IPM_alt,72
D_WKS52H24,1248
