HOY,2-hr,3-hr,5-hr,8-hr,12-hr,20-hr,30-hr,60-hr,120-hr,219-hr,365-hr,584-hr,876-hr,1460-hr,8760-hr
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
5,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
6,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
7,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1
8,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1
9,5,3,2,2,1,1,1,1,1,1,1,1,1,1,1
10,5,4,2,2,1,1,1,1,1,1,1,1,1,1,1
11,6,4,3,2,1,1,1,1,1,1,1,1,1,1,1
12,6,4,3,2,1,1,1,1,1,1,1,1,1,1,1
13,7,5,3,2,2,1,1,1,1,1,1,1,1,1,1
14,7,5,3,2,2,1,1,1,1,1,1,1,1,1,1
15,8,5,3,2,2,1,1,1,1,1,1,1,1,1,1
16,8,6,4,2,2,1,1,1,1,1,1,1,1,1,1
17,9,6,4,3,2,1,1,1,1,1,1,1,1,1,1
18,9,6,4,3,2,1,1,1,1,1,1,1,1,1,1
19,10,7,4,3,2,1,1,1,1,1,1,1,1,1,1
20,10,7,4,3,2,1,1,1,1,1,1,1,1,1,1
21,11,7,5,3,2,2,1,1,1,1,1,1,1,1,1
22,11,8,5,3,2,2,1,1,1,1,1,1,1,1,1
23,12,8,5,3,2,2,1,1,1,1,1,1,1,1,1
24,12,8,5,3,2,2,1,1,1,1,1,1,1,1,1
25,13,9,5,4,3,2,1,1,1,1,1,1,1,1,1
26,13,9,6,4,3,2,1,1,1,1,1,1,1,1,1
27,14,9,6,4,3,2,1,1,1,1,1,1,1,1,1
28,14,10,6,4,3,2,1,1,1,1,1,1,1,1,1
29,15,10,6,4,3,2,1,1,1,1,1,1,1,1,1
30,15,10,6,4,3,2,1,1,1,1,1,1,1,1,1
31,16,11,7,4,3,2,2,1,1,1,1,1,1,1,1
32,16,11,7,4,3,2,2,1,1,1,1,1,1,1,1
33,17,11,7,5,3,2,2,1,1,1,1,1,1,1,1
34,17,12,7,5,3,2,2,1,1,1,1,1,1,1,1
35,18,12,7,5,3,2,2,1,1,1,1,1,1,1,1
36,18,12,8,5,3,2,2,1,1,1,1,1,1,1,1
37,19,13,8,5,4,2,2,1,1,1,1,1,1,1,1
38,19,13,8,5,4,2,2,1,1,1,1,1,1,1,1
39,20,13,8,5,4,2,2,1,1,1,1,1,1,1,1
40,20,14,8,5,4,2,2,1,1,1,1,1,1,1,1
41,21,14,9,6,4,3,2,1,1,1,1,1,1,1,1
42,21,14,9,6,4,3,2,1,1,1,1,1,1,1,1
43,22,15,9,6,4,3,2,1,1,1,1,1,1,1,1
44,22,15,9,6,4,3,2,1,1,1,1,1,1,1,1
45,23,15,9,6,4,3,2,1,1,1,1,1,1,1,1
46,23,16,10,6,4,3,2,1,1,1,1,1,1,1,1
47,24,16,10,6,4,3,2,1,1,1,1,1,1,1,1
48,24,16,10,6,4,3,2,1,1,1,1,1,1,1,1
49,25,17,10,7,5,3,2,1,1,1,1,1,1,1,1
50,25,17,10,7,5,3,2,1,1,1,1,1,1,1,1
51,26,17,11,7,5,3,2,1,1,1,1,1,1,1,1
52,26,18,11,7,5,3,2,1,1,1,1,1,1,1,1
53,27,18,11,7,5,3,2,1,1,1,1,1,1,1,1
54,27,18,11,7,5,3,2,1,1,1,1,1,1,1,1
55,28,19,11,7,5,3,2,1,1,1,1,1,1,1,1
56,28,19,12,7,5,3,2,1,1,1,1,1,1,1,1
57,29,19,12,8,5,3,2,1,1,1,1,1,1,1,1
58,29,20,12,8,5,3,2,1,1,1,1,1,1,1,1
59,30,20,12,8,5,3,2,1,1,1,1,1,1,1,1
60,30,20,12,8,5,3,2,1,1,1,1,1,1,1,1
61,31,21,13,8,6,4,3,2,1,1,1,1,1,1,1
62,31,21,13,8,6,4,3,2,1,1,1,1,1,1,1
63,32,21,13,8,6,4,3,2,1,1,1,1,1,1,1
64,32,22,13,8,6,4,3,2,1,1,1,1,1,1,1
65,33,22,13,9,6,4,3,2,1,1,1,1,1,1,1
66,33,22,14,9,6,4,3,2,1,1,1,1,1,1,1
67,34,23,14,9,6,4,3,2,1,1,1,1,1,1,1
68,34,23,14,9,6,4,3,2,1,1,1,1,1,1,1
69,35,23,14,9,6,4,3,2,1,1,1,1,1,1,1
70,35,24,14,9,6,4,3,2,1,1,1,1,1,1,1
71,36,24,15,9,6,4,3,2,1,1,1,1,1,1,1
72,36,24,15,9,6,4,3,2,1,1,1,1,1,1,1
73,37,25,15,10,7,4,3,2,1,1,1,1,1,1,1
74,37,25,15,10,7,4,3,2,1,1,1,1,1,1,1
75,38,25,15,10,7,4,3,2,1,1,1,1,1,1,1
76,38,26,16,10,7,4,3,2,1,1,1,1,1,1,1
77,39,26,16,10,7,4,3,2,1,1,1,1,1,1,1
78,39,26,16,10,7,4,3,2,1,1,1,1,1,1,1
79,40,27,16,10,7,4,3,2,1,1,1,1,1,1,1
80,40,27,16,10,7,4,3,2,1,1,1,1,1,1,1
81,41,27,17,11,7,5,3,2,1,1,1,1,1,1,1
82,41,28,17,11,7,5,3,2,1,1,1,1,1,1,1
83,42,28,17,11,7,5,3,2,1,1,1,1,1,1,1
84,42,28,17,11,7,5,3,2,1,1,1,1,1,1,1
85,43,29,17,11,8,5,3,2,1,1,1,1,1,1,1
86,43,29,18,11,8,5,3,2,1,1,1,1,1,1,1
87,44,29,18,11,8,5,3,2,1,1,1,1,1,1,1
88,44,30,18,11,8,5,3,2,1,1,1,1,1,1,1
89,45,30,18,12,8,5,3,2,1,1,1,1,1,1,1
90,45,30,18,12,8,5,3,2,1,1,1,1,1,1,1
91,46,31,19,12,8,5,4,2,1,1,1,1,1,1,1
92,46,31,19,12,8,5,4,2,1,1,1,1,1,1,1
93,47,31,19,12,8,5,4,2,1,1,1,1,1,1,1
94,47,32,19,12,8,5,4,2,1,1,1,1,1,1,1
95,48,32,19,12,8,5,4,2,1,1,1,1,1,1,1
96,48,32,20,12,8,5,4,2,1,1,1,1,1,1,1
97,49,33,20,13,9,5,4,2,1,1,1,1,1,1,1
98,49,33,20,13,9,5,4,2,1,1,1,1,1,1,1
99,50,33,20,13,9,5,4,2,1,1,1,1,1,1,1
100,50,34,20,13,9,5,4,2,1,1,1,1,1,1,1
101,51,34,21,13,9,6,4,2,1,1,1,1,1,1,1
102,51,34,21,13,9,6,4,2,1,1,1,1,1,1,1
103,52,35,21,13,9,6,4,2,1,1,1,1,1,1,1
104,52,35,21,13,9,6,4,2,1,1,1,1,1,1,1
105,53,35,21,14,9,6,4,2,1,1,1,1,1,1,1
106,53,36,22,14,9,6,4,2,1,1,1,1,1,1,1
107,54,36,22,14,9,6,4,2,1,1,1,1,1,1,1
108,54,36,22,14,9,6,4,2,1,1,1,1,1,1,1
109,55,37,22,14,10,6,4,2,1,1,1,1,1,1,1
110,55,37,22,14,10,6,4,2,1,1,1,1,1,1,1
111,56,37,23,14,10,6,4,2,1,1,1,1,1,1,1
112,56,38,23,14,10,6,4,2,1,1,1,1,1,1,1
113,57,38,23,15,10,6,4,2,1,1,1,1,1,1,1
114,57,38,23,15,10,6,4,2,1,1,1,1,1,1,1
115,58,39,23,15,10,6,4,2,1,1,1,1,1,1,1
116,58,39,24,15,10,6,4,2,1,1,1,1,1,1,1
117,59,39,24,15,10,6,4,2,1,1,1,1,1,1,1
118,59,40,24,15,10,6,4,2,1,1,1,1,1,1,1
119,60,40,24,15,10,6,4,2,1,1,1,1,1,1,1
120,60,40,24,15,10,6,4,2,1,1,1,1,1,1,1
121,61,41,25,16,11,7,5,3,2,1,1,1,1,1,1
122,61,41,25,16,11,7,5,3,2,1,1,1,1,1,1
123,62,41,25,16,11,7,5,3,2,1,1,1,1,1,1
124,62,42,25,16,11,7,5,3,2,1,1,1,1,1,1
125,63,42,25,16,11,7,5,3,2,1,1,1,1,1,1
126,63,42,26,16,11,7,5,3,2,1,1,1,1,1,1
127,64,43,26,16,11,7,5,3,2,1,1,1,1,1,1
128,64,43,26,16,11,7,5,3,2,1,1,1,1,1,1
129,65,43,26,17,11,7,5,3,2,1,1,1,1,1,1
